PassengerId,Survived
352,0
126,0
579,1
424,0
120,0
13,0
159,0
129,1
426,0
237,0
445,0
243,0
533,0
287,0
866,1
753,0
481,0
704,0
695,0
622,0
18,0
473,1
321,0
523,0
610,1
244,0
454,0
172,0
189,0
800,0
434,0
652,1
638,0
80,1
420,1
200,1
726,0
813,0
696,0
358,1
22,0
575,0
640,0
252,0
245,0
520,0
36,0
83,1
161,0
744,0
410,0
111,0
335,1
690,1
94,0
411,0
462,0
616,1
877,0
213,0
427,1
167,1
240,0
190,0
468,0
691,0
453,1
364,0
763,0
738,0
157,1
778,1
507,1
505,1
785,0
68,0
818,0
405,1
459,1
270,1
163,0
884,0
403,1
878,0
840,0
821,1
102,0
705,0
740,0
231,1
336,0
559,1
624,0
777,0
369,1
816,0
222,0
810,1
311,1
688,0
787,1
16,1
247,1
497,1
7,0
449,1
438,1
476,0
106,0
305,0
650,1
210,0
304,1
52,0
92,0
356,0
880,1
23,1
376,1
460,0
220,0
657,0
722,0
498,0
627,0
207,0
712,0
192,0
363,0
590,0
377,1
187,1
196,1
589,0
584,0
134,1
235,0
175,0
180,0
315,0
317,1
526,0
860,0
786,0
208,0
807,0
668,0
98,1
528,0
761,0
467,0
76,0
91,0
39,0
181,0
503,1
1,0
47,0
173,1
394,1
710,0
879,0
607,0
109,0
501,0
135,0
566,0
225,0
604,0
329,0
464,0
104,0
626,0
110,1
215,0
587,0
551,1
703,1
248,1
862,0
547,1
127,0
137,1
715,0
857,1
782,1
595,0
437,0
367,1
792,0
226,0
27,0
767,0
572,1
419,0
494,0
629,0
886,1
485,0
4,1
136,0
327,0
357,1
827,0
188,0
682,1
297,0
743,1
487,1
387,0
694,0
702,0
874,0
798,1
429,0
227,0
729,0
332,0
371,0
606,0
334,0
341,0
421,0
687,0
611,0
737,0
845,0
456,0
406,0
417,1
65,0
605,0
630,0
480,1
362,0
239,0
673,0
856,1
114,1
752,0
570,0
861,0
21,0
67,1
300,1
128,0
261,0
795,0
889,1
139,0
8,0
504,0
739,0
714,0
755,1
409,0
614,0
355,0
155,0
345,0
789,0
890,1
733,0
57,1
402,0
475,1
470,1
580,0
594,1
506,1
569,0
578,1
302,0
599,0
735,0
165,0
338,1
60,0
730,1
828,1
492,0
844,0
451,0
669,0
439,0
642,1
791,0
221,0
603,0
284,0
350,0
724,0
5,0
717,1
465,0
689,0
585,0
812,0
519,1
794,0
536,1
802,1
278,0
286,0
472,0
428,1
283,0
122,0
873,0
14,0
788,0
457,0
863,1
162,1
869,0
867,1
637,0
664,0
197,0
193,1
538,1
166,0
108,0
17,0
577,1
634,0
542,0
331,1
482,0
500,0
774,0
407,0
663,0
95,0
435,0
85,1
749,0
780,1
416,1
870,0
651,0
649,0
809,0
324,1
558,0
359,1
71,0
516,0
511,0
342,1
223,0
824,1
148,1
291,1
30,0
116,0
510,0
719,0
864,0
178,1
170,0
349,0
378,1
865,0
775,1
851,0
685,0
191,1
138,0
448,0
746,0
256,1
783,0
292,1
835,0
751,1
234,0
34,0
90,0
45,1
343,0
63,0
847,0
201,0
431,0
667,0
396,0
299,0
75,0
395,1
549,0
581,1
543,0
825,0
759,0
747,0
665,0
219,1
541,1
762,0
625,0
670,1
732,0
423,0
140,1
214,0
618,1
748,1
745,0
770,0
814,1
236,1
69,0
25,1
383,0
218,0
131,0
351,0
113,0
168,0
209,1
440,0
554,0
276,1
754,0
593,0
858,0
527,1
289,0
471,0
328,1
123,0
509,0
230,0
675,0
597,1
447,1
119,1
466,0
26,0
112,1
151,0
154,0
530,0
698,1
623,0
463,0
600,0
141,1
262,0
325,0
797,1
250,0
452,0
412,0
609,1
20,1
330,1
298,1
271,0
228,0
96,0
517,1
639,0
282,0
288,0
591,0
826,0
446,1
186,0
373,0
801,0
868,0
277,0
829,0
184,0
33,1
82,0
309,0
12,1
44,1
88,0
37,0
872,1
59,1
42,1
413,1
564,0
211,0
150,0
741,0
596,0
125,0
736,0
576,0
100,0
379,0
132,0
701,1
24,0
773,1
557,1
372,0
514,1
385,0
203,0
370,1
556,0
612,0
389,0
294,1
692,1
258,1
608,0
199,1
97,0
855,1
837,0
171,0
583,0
307,1
562,0
375,1
721,1
793,0
229,0
662,0
145,0
182,0
133,0
843,1
48,1
776,0
326,1
205,0
86,0
635,1
567,0
613,1
400,1
93,0
84,0
432,1
781,1
121,0
293,0
58,0
323,1
259,1
841,0
444,1
43,0
619,1
390,1
337,0
275,1
758,0
490,0
552,0
54,1
831,1
130,0
804,0
29,1
185,1
461,0
512,0
677,0
153,0
246,0
716,0
545,0
546,0
641,0
699,0
267,0
290,1
425,0
149,0
661,0
799,0
859,1
179,0
101,1
853,1
450,0
433,1
850,1
711,1
757,0
117,0
779,0
74,0
848,0
539,0
679,0
852,0
875,1
176,0
89,1
553,0
488,0
707,1
316,1
398,0
602,0
474,1
72,0
601,1
806,0
756,0
279,0
725,0
10,1
361,0
709,1
765,0
838,0
194,0
631,0
561,0
686,0
